epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,557.377,1.59897,1.27288,1.57613,0.64171,0.52486,0.57521,0.26786,1.56662,1.27172,1.5084,0.00934,0.00934,0.00934
102,562.656,1.58158,1.26303,1.57037,0.61909,0.52378,0.57568,0.27091,1.56445,1.27835,1.504,0.0093334,0.0093334,0.0093334
103,567.935,1.56791,1.24173,1.55912,0.64054,0.52303,0.58043,0.27128,1.55518,1.27622,1.49088,0.0093268,0.0093268,0.0093268
104,573.055,1.53665,1.2222,1.53746,0.65151,0.52002,0.5732,0.26936,1.55453,1.26259,1.49261,0.0093202,0.0093202,0.0093202
105,578.278,1.54206,1.24535,1.55438,0.63716,0.50938,0.54182,0.25566,1.57632,1.28782,1.52281,0.0093136,0.0093136,0.0093136
106,583.643,1.58304,1.25194,1.55295,0.65534,0.51015,0.55772,0.2669,1.53869,1.26515,1.49642,0.009307,0.009307,0.009307
107,589.155,1.57395,1.25141,1.5463,0.65577,0.53264,0.58899,0.27741,1.54234,1.25606,1.47922,0.0093004,0.0093004,0.0093004
108,594.277,1.54208,1.21912,1.54579,0.70128,0.52576,0.59473,0.27486,1.53917,1.26771,1.47832,0.0092938,0.0092938,0.0092938
109,599.727,1.54192,1.22591,1.53858,0.63364,0.51526,0.55969,0.26135,1.56697,1.30642,1.49857,0.0092872,0.0092872,0.0092872
110,604.999,1.52721,1.20807,1.52987,0.63913,0.5194,0.57164,0.26977,1.54415,1.25331,1.49202,0.0092806,0.0092806,0.0092806
111,610.248,1.57558,1.24746,1.56624,0.65835,0.50707,0.57574,0.27234,1.53593,1.25794,1.48655,0.009274,0.009274,0.009274
112,615.483,1.5289,1.21726,1.54918,0.64332,0.52975,0.5757,0.27353,1.53336,1.29299,1.48158,0.0092674,0.0092674,0.0092674
113,620.767,1.54041,1.2266,1.53209,0.64381,0.50899,0.56066,0.26757,1.53426,1.27934,1.47415,0.0092608,0.0092608,0.0092608
114,626.009,1.57296,1.25986,1.56933,0.67461,0.52779,0.58528,0.27833,1.53966,1.25297,1.47921,0.0092542,0.0092542,0.0092542
115,631.412,1.51872,1.21065,1.53317,0.66884,0.53196,0.5869,0.28029,1.5288,1.22827,1.46338,0.0092476,0.0092476,0.0092476
116,636.738,1.49033,1.20836,1.52504,0.67974,0.51616,0.58726,0.27707,1.52782,1.23425,1.47253,0.009241,0.009241,0.009241
117,642.013,1.54377,1.20856,1.53091,0.64317,0.50702,0.57514,0.27465,1.54422,1.30484,1.47452,0.0092344,0.0092344,0.0092344
118,647.311,1.52754,1.18919,1.51953,0.63862,0.49426,0.55024,0.25668,1.55903,1.28679,1.49734,0.0092278,0.0092278,0.0092278
119,652.533,1.54846,1.22281,1.54043,0.64715,0.50753,0.55752,0.25964,1.56363,1.2748,1.49987,0.0092212,0.0092212,0.0092212
120,657.823,1.49679,1.18594,1.49631,0.6863,0.50145,0.56923,0.27065,1.52787,1.24428,1.46639,0.0092146,0.0092146,0.0092146
121,663.041,1.47176,1.17835,1.50038,0.66501,0.5156,0.57495,0.27107,1.55056,1.26919,1.48538,0.009208,0.009208,0.009208
122,668.742,1.53872,1.21571,1.55388,0.65902,0.52158,0.58222,0.27468,1.53915,1.26185,1.47206,0.0092014,0.0092014,0.0092014
123,674.114,1.50921,1.19792,1.52576,0.6716,0.52177,0.58538,0.27949,1.51976,1.25577,1.46944,0.0091948,0.0091948,0.0091948
124,679.375,1.53845,1.22902,1.53978,0.65336,0.5317,0.58967,0.28166,1.51778,1.22365,1.4649,0.0091882,0.0091882,0.0091882
125,684.628,1.53959,1.21927,1.53161,0.6583,0.50422,0.56773,0.27313,1.53683,1.27489,1.4804,0.0091816,0.0091816,0.0091816
126,689.783,1.50895,1.19527,1.51669,0.64021,0.52262,0.57155,0.26873,1.54356,1.25704,1.47673,0.009175,0.009175,0.009175
127,694.895,1.53727,1.21689,1.53016,0.63366,0.52976,0.57922,0.26982,1.54469,1.2498,1.4879,0.0091684,0.0091684,0.0091684
128,700.076,1.5094,1.19413,1.52,0.66142,0.52691,0.58545,0.2799,1.50581,1.24948,1.46173,0.0091618,0.0091618,0.0091618
129,705.546,1.52676,1.19837,1.53443,0.66091,0.52534,0.58887,0.2843,1.50242,1.2289,1.45038,0.0091552,0.0091552,0.0091552
