epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,570.232,1.3731,0.94593,1.24003,0.75579,0.61372,0.67919,0.34806,1.6142,1.11541,1.41879,0.0096106,0.0096106,0.0096106
61,579.529,1.37746,0.95,1.23687,0.75519,0.62487,0.68545,0.34763,1.61421,1.11089,1.40512,0.009604,0.009604,0.009604
62,588.724,1.38512,0.94707,1.23747,0.74261,0.62509,0.68852,0.35637,1.60646,1.07905,1.41409,0.0095974,0.0095974,0.0095974
63,598,1.36616,0.93972,1.22866,0.73245,0.59906,0.67331,0.34961,1.61411,1.11676,1.42046,0.0095908,0.0095908,0.0095908
64,607.204,1.37322,0.94601,1.23445,0.74126,0.61529,0.68377,0.35129,1.61309,1.09254,1.41115,0.0095842,0.0095842,0.0095842
65,616.433,1.3777,0.94508,1.22407,0.76794,0.6118,0.68666,0.35101,1.61513,1.0887,1.41654,0.0095776,0.0095776,0.0095776
66,625.66,1.35112,0.93016,1.22648,0.76062,0.62376,0.6899,0.35164,1.59109,1.09635,1.39542,0.009571,0.009571,0.009571
67,634.893,1.36502,0.93484,1.22342,0.75061,0.61931,0.68945,0.35146,1.65462,1.09817,1.4539,0.0095644,0.0095644,0.0095644
68,644.189,1.36313,0.93184,1.22329,0.76053,0.63141,0.69968,0.35835,1.61354,1.06416,1.41675,0.0095578,0.0095578,0.0095578
69,653.379,1.37122,0.94678,1.23837,0.75413,0.62194,0.69181,0.36244,1.58874,1.07477,1.39375,0.0095512,0.0095512,0.0095512
70,662.58,1.35168,0.92705,1.21551,0.76,0.62867,0.70066,0.36243,1.59194,1.07549,1.39861,0.0095446,0.0095446,0.0095446
71,671.833,1.34779,0.92513,1.22047,0.76259,0.62672,0.69748,0.35531,1.59852,1.08435,1.39992,0.009538,0.009538,0.009538
72,681.028,1.35686,0.92715,1.22206,0.76265,0.62806,0.69741,0.35457,1.61008,1.07163,1.40538,0.0095314,0.0095314,0.0095314
73,690.29,1.34907,0.92529,1.21949,0.75512,0.61235,0.68848,0.35255,1.59101,1.12923,1.39398,0.0095248,0.0095248,0.0095248
74,699.6,1.34459,0.92394,1.22315,0.76157,0.6197,0.69661,0.34999,1.6295,1.08702,1.41458,0.0095182,0.0095182,0.0095182
75,708.803,1.33332,0.9165,1.21463,0.7651,0.61627,0.69559,0.3684,1.58245,1.06404,1.39297,0.0095116,0.0095116,0.0095116
76,718.261,1.34283,0.91779,1.20866,0.77925,0.62594,0.70405,0.36776,1.55896,1.05965,1.38276,0.009505,0.009505,0.009505
77,727.485,1.33498,0.91715,1.21161,0.76769,0.63346,0.70723,0.37273,1.55057,1.05256,1.37335,0.0094984,0.0094984,0.0094984
78,736.706,1.33499,0.91478,1.21148,0.75165,0.61813,0.69438,0.36407,1.57373,1.06636,1.39405,0.0094918,0.0094918,0.0094918
79,746.007,1.32073,0.89674,1.20027,0.77337,0.63162,0.70725,0.36173,1.59008,1.05846,1.39399,0.0094852,0.0094852,0.0094852
80,755.231,1.33735,0.91415,1.2116,0.75813,0.64684,0.71128,0.37529,1.55183,1.03239,1.38292,0.0094786,0.0094786,0.0094786
81,764.438,1.31752,0.8962,1.20361,0.78366,0.6303,0.70893,0.37533,1.54729,1.06138,1.3729,0.009472,0.009472,0.009472
82,773.625,1.33074,0.90637,1.20854,0.74613,0.64116,0.70708,0.36993,1.55991,1.04568,1.38468,0.0094654,0.0094654,0.0094654
83,782.856,1.31463,0.88985,1.19765,0.77479,0.62627,0.70294,0.36845,1.58206,1.04404,1.38235,0.0094588,0.0094588,0.0094588
84,792.124,1.32115,0.90049,1.20635,0.7753,0.63171,0.70943,0.371,1.57056,1.03568,1.37272,0.0094522,0.0094522,0.0094522
85,801.337,1.33051,0.9034,1.20438,0.77809,0.63597,0.71782,0.37817,1.54828,1.02139,1.37523,0.0094456,0.0094456,0.0094456
86,810.574,1.32262,0.89539,1.19826,0.77278,0.6294,0.71173,0.37988,1.54374,1.04325,1.37411,0.009439,0.009439,0.009439
87,819.764,1.3048,0.88319,1.18159,0.79473,0.62869,0.70851,0.36979,1.56465,1.0418,1.37703,0.0094324,0.0094324,0.0094324
